app_id,title,rank,month,year,hours_watched,hours_streamed,peak_viewers,peak_channels,streamers,average_viewers,average_channels
525480,.hack//G.U. Last Recode,199,11,2017,145350,35258,1222,258,3174,202,49
1966900,20 Minutes Till Dawn,159,6,2022,911356,12253,29743,80,3616,1267,17
646270,60 Parsecs!,109,9,2018,529688,1867,31960,27,606,736,2
368360,60 Seconds!,126,7,2016,268754,597,32505,10,275,361,0
368360,60 Seconds!,54,8,2016,772786,2065,56904,30,628,1040,2
368360,60 Seconds!,199,11,2016,109473,503,5297,5,193,152,0
368360,60 Seconds!,119,3,2017,263482,679,31311,10,240,354,0
368360,60 Seconds!,182,11,2017,179250,584,10458,8,228,249,0
368360,60 Seconds!,186,12,2017,180788,669,23476,9,260,243,0
368360,60 Seconds!,194,8,2018,222209,871,18245,8,414,299,1
368360,60 Seconds!,139,7,2019,435311,1188,41049,13,630,585,1
368360,60 Seconds!,147,8,2019,402052,2052,23955,15,918,541,2
251570,7 Days to Die,129,1,2016,269681,12131,4405,44,1240,362,16
251570,7 Days to Die,159,2,2016,139365,8921,3812,34,887,200,12
251570,7 Days to Die,192,3,2016,99191,8504,4817,58,932,133,11
251570,7 Days to Die,117,4,2016,212199,15614,3993,52,1439,295,21
251570,7 Days to Die,116,5,2016,195722,11696,4507,44,1245,263,15
251570,7 Days to Die,83,6,2016,336450,35256,5047,950,7022,467,49
251570,7 Days to Die,27,7,2016,2063116,190266,36862,588,27860,2776,256
251570,7 Days to Die,41,8,2016,1075632,103833,22516,283,14871,1447,139
251570,7 Days to Die,64,9,2016,448301,66628,2036,197,9429,623,92
251570,7 Days to Die,58,10,2016,641569,68996,5308,194,8652,863,92
251570,7 Days to Die,87,11,2016,461632,64540,3579,185,7934,642,89
251570,7 Days to Die,71,12,2016,697102,63195,3956,165,2121,938,85
251570,7 Days to Die,67,1,2017,851122,72413,23043,177,10178,1145,97
251570,7 Days to Die,102,2,2017,390754,49589,2050,145,6472,582,73
251570,7 Days to Die,89,3,2017,411913,55707,2524,150,5653,554,74
251570,7 Days to Die,116,4,2017,301676,43986,2814,115,4688,419,61
251570,7 Days to Die,103,5,2017,405540,47457,3051,119,6398,545,63
251570,7 Days to Die,62,6,2017,878596,65034,13888,196,7909,1221,90
251570,7 Days to Die,45,7,2017,1574763,94377,29245,266,10547,2119,127
251570,7 Days to Die,95,8,2017,553302,68833,4604,170,7384,744,92
251570,7 Days to Die,90,9,2017,458575,56420,2598,146,5669,637,78
251570,7 Days to Die,91,10,2017,530702,55127,5600,144,5991,714,74
251570,7 Days to Die,74,11,2017,730627,58445,7900,161,6548,1016,81
251570,7 Days to Die,54,12,2017,1217612,59417,39478,165,6766,1638,79
251570,7 Days to Die,108,1,2018,477092,65101,3765,165,6798,642,87
251570,7 Days to Die,105,2,2018,447498,54975,4777,165,5760,666,81
251570,7 Days to Die,101,3,2018,488948,53973,1889,132,5608,658,72
251570,7 Days to Die,73,4,2018,850262,56271,8754,161,5513,1182,78
251570,7 Days to Die,127,5,2018,421652,47661,7885,140,5338,567,64
251570,7 Days to Die,175,6,2018,296121,42429,3807,113,4954,411,59
251570,7 Days to Die,130,7,2018,505738,48797,3218,122,5186,680,65
251570,7 Days to Die,126,8,2018,438768,43892,6816,104,4872,590,59
251570,7 Days to Die,149,9,2018,372904,41401,2131,137,4304,518,57
251570,7 Days to Die,141,10,2018,400441,46713,1860,135,4853,538,62
251570,7 Days to Die,76,11,2018,1025275,64112,8877,293,6592,1425,89
251570,7 Days to Die,78,12,2018,1172994,80431,25079,221,7266,1578,108
251570,7 Days to Die,89,1,2019,989160,76728,14526,189,6786,1331,103
251570,7 Days to Die,136,2,2019,445404,48732,5475,154,4604,663,72
251570,7 Days to Die,156,3,2019,400180,48803,4767,131,4816,538,65
251570,7 Days to Die,188,4,2019,298469,42774,1100,132,4432,415,59
251570,7 Days to Die,130,5,2019,538330,47376,9592,124,4674,724,63
251570,7 Days to Die,169,6,2019,385630,45879,2692,126,4688,536,63
251570,7 Days to Die,80,7,2019,872197,54719,28001,136,5113,1173,73
251570,7 Days to Die,119,8,2019,520471,49878,5491,140,4799,700,67
251570,7 Days to Die,97,9,2019,686728,41786,16554,122,3898,955,58
251570,7 Days to Die,43,10,2019,2392372,97946,19611,270,7524,3219,131
251570,7 Days to Die,56,11,2019,1758873,98259,20463,307,8057,2446,136
251570,7 Days to Die,84,12,2019,1106939,79444,27020,192,7238,1489,106
251570,7 Days to Die,98,1,2020,968474,83832,6825,203,7268,1303,112
251570,7 Days to Die,102,2,2020,832733,73716,5467,197,6199,1198,106
251570,7 Days to Die,129,3,2020,729236,80171,12573,230,7206,981,107
251570,7 Days to Die,137,4,2020,759550,85636,10050,221,6446,1056,119
251570,7 Days to Die,172,5,2020,703934,93498,4175,247,7066,947,125
251570,7 Days to Die,100,6,2020,1210455,75019,34546,400,6309,1683,104
251570,7 Days to Die,76,7,2020,2247141,154970,23930,411,10624,3024,208
251570,7 Days to Die,97,8,2020,1360333,123123,12154,301,9189,1830,165
251570,7 Days to Die,95,9,2020,1468032,118790,9943,293,8873,2041,165
251570,7 Days to Die,115,10,2020,1149096,107937,11121,353,8738,1546,145
251570,7 Days to Die,108,11,2020,1320899,137202,10068,346,10520,1837,190
251570,7 Days to Die,109,12,2020,1389434,129851,9909,339,10519,1870,174
251570,7 Days to Die,105,1,2021,1554041,165771,26704,404,12949,2091,223
251570,7 Days to Die,169,2,2021,786041,117774,4592,362,9989,1171,175
251570,7 Days to Die,185,3,2021,842696,100094,15201,247,8310,1134,134
251570,7 Days to Die,182,4,2021,867372,110696,7781,322,9378,1206,153
251570,7 Days to Die,101,5,2021,2021678,129747,44237,315,10609,2720,174
251570,7 Days to Die,148,6,2021,971682,124726,13911,315,9857,1351,173
251570,7 Days to Die,138,7,2021,1249874,124013,28696,289,9748,1682,166
251570,7 Days to Die,95,8,2021,2494751,130400,26935,312,10174,3357,175
251570,7 Days to Die,144,9,2021,1071395,114887,9869,287,9019,1490,159
251570,7 Days to Die,144,10,2021,971803,96589,9631,237,7697,1307,129
251570,7 Days to Die,166,11,2021,884544,103636,12544,271,8079,1230,144
251570,7 Days to Die,79,12,2021,2679730,199776,16537,683,14732,3606,268
251570,7 Days to Die,102,1,2022,1974907,200059,18275,527,19814,2658,269
251570,7 Days to Die,133,2,2022,1025453,131832,4540,353,13962,1528,196
251570,7 Days to Die,130,3,2022,1165823,116384,9041,283,11752,1569,156
251570,7 Days to Die,147,4,2022,1094316,129278,8634,357,15710,1521,179
251570,7 Days to Die,128,5,2022,1315149,144367,12510,378,18112,1770,194
251570,7 Days to Die,133,6,2022,1226801,118518,19287,303,14040,1706,164
251570,7 Days to Die,123,7,2022,1432254,119717,39896,267,13798,1927,161
251570,7 Days to Die,116,8,2022,1595016,132039,31040,415,14512,2146,177
251570,7 Days to Die,136,9,2022,1206313,121311,9744,313,13092,1677,168
251570,7 Days to Die,166,10,2022,984410,121450,14564,295,13397,1324,163
251570,7 Days to Die,146,11,2022,900156,115266,8299,312,12599,1251,160
251570,7 Days to Die,132,12,2022,1017118,103517,6557,313,12186,1368,139
251570,7 Days to Die,65,1,2023,2916116,133241,45559,326,15713,3924,179
251570,7 Days to Die,96,2,2023,1422587,104345,37281,308,12894,2120,155
251570,7 Days to Die,155,3,2023,895305,104163,15456,257,12689,1204,140
251570,7 Days to Die,162,4,2023,888117,107752,14036,272,12520,1235,149
251570,7 Days to Die,181,5,2023,699186,90699,10121,225,10625,941,122
251570,7 Days to Die,74,6,2023,2362400,159452,18267,533,16323,3285,221
251570,7 Days to Die,66,7,2023,3342960,241800,17258,517,22431,4499,325
251570,7 Days to Die,70,8,2023,3169381,171278,41674,401,16429,4265,230
251570,7 Days to Die,96,9,2023,1735814,119465,15325,311,12290,2414,166
977950,A Dance of Fire and Ice,124,2,2019,509018,5428,19067,48,2071,758,8
977950,A Dance of Fire and Ice,158,3,2019,395310,8576,22735,62,3595,532,11
253230,A Hat in Time,97,10,2017,488213,20147,28625,182,3017,657,27
253230,A Hat in Time,164,12,2017,221082,6774,23058,31,1448,297,9
253230,A Hat in Time,170,9,2018,286598,14520,8015,182,3065,398,20
752590,A Plague Tale: Innocence,43,5,2019,2632781,54353,63953,608,7837,3543,73
752590,A Plague Tale: Innocence,107,6,2019,768577,19387,27329,100,3348,1068,26
1182900,A Plague Tale: Requiem,52,10,2022,4244194,132754,117084,1820,20316,5712,178
1182900,A Plague Tale: Requiem,159,11,2022,781641,60087,13998,308,10276,1087,83
1222700,A Way Out,18,3,2018,5423162,89705,233484,1587,21244,7299,120
1222700,A Way Out,60,4,2018,1082308,49205,32309,318,13106,1505,68
1222700,A Way Out,192,12,2020,544924,23367,51334,91,4762,733,31
384190,ABZU,87,8,2016,338342,5738,28205,116,2587,455,7
948740,AI: The Somnium Files,112,9,2019,532612,5032,17670,36,464,740,6
948740,AI: The Somnium Files,141,10,2019,424053,5248,12582,31,424,570,7
1137460,ALTF4,89,3,2021,2411305,12912,53821,85,4523,3245,17
1137460,ALTF4,93,4,2021,2256336,16068,77201,72,5819,3138,22
1137460,ALTF4,110,11,2021,1703934,7400,82972,52,2299,2369,10
1137460,ALTF4,94,8,2022,2179439,11719,73711,76,5469,2933,15
1253870,ANIME STANDING,182,9,2021,807420,8907,2654,24,381,1122,12
466740,ARAYA,159,11,2016,142823,437,28289,12,184,198,0
346110,ARK: Survival Evolved,40,2,2016,1609781,77116,10969,203,8888,2316,110
346110,ARK: Survival Evolved,43,3,2016,1369715,72746,51065,180,7444,1843,97
346110,ARK: Survival Evolved,43,4,2016,1203741,67496,7857,177,5210,1674,93
346110,ARK: Survival Evolved,36,5,2016,1575997,78838,9510,239,6571,2121,106
346110,ARK: Survival Evolved,34,6,2016,1519376,77793,7525,201,6313,2113,108
346110,ARK: Survival Evolved,44,7,2016,1070428,65150,7828,168,5823,1440,87
346110,ARK: Survival Evolved,53,8,2016,779563,58910,5329,149,5228,1049,79
346110,ARK: Survival Evolved,23,9,2016,2579781,81852,41935,244,6800,3588,113
346110,ARK: Survival Evolved,42,10,2016,1071427,59716,4085,147,4829,1442,80
346110,ARK: Survival Evolved,53,11,2016,839356,52124,14169,146,4316,1167,72
346110,ARK: Survival Evolved,39,12,2016,1517863,181968,6244,539,1451,2042,244
346110,ARK: Survival Evolved,35,1,2017,2167646,192501,18756,483,24488,2917,259
346110,ARK: Survival Evolved,37,2,2017,1830475,148749,13840,416,18138,2727,221
346110,ARK: Survival Evolved,48,3,2017,1248966,117465,5339,329,11041,1680,158
346110,ARK: Survival Evolved,43,4,2017,1070666,104356,4114,274,10138,1489,145
346110,ARK: Survival Evolved,51,5,2017,1042114,97725,6045,268,12274,1402,131
346110,ARK: Survival Evolved,39,6,2017,1430071,115439,13626,308,14830,1988,160
346110,ARK: Survival Evolved,52,7,2017,1259946,113268,7819,269,14784,1695,152
346110,ARK: Survival Evolved,40,8,2017,1497531,101073,51549,397,13485,2015,136
346110,ARK: Survival Evolved,27,9,2017,3169606,151005,21882,397,16328,4408,210
346110,ARK: Survival Evolved,42,10,2017,1937019,112476,19583,275,12755,2607,151
346110,ARK: Survival Evolved,52,11,2017,1238337,104527,4938,280,11805,1722,145
346110,ARK: Survival Evolved,30,12,2017,2964782,179876,57668,694,19391,3990,242
346110,ARK: Survival Evolved,41,1,2018,2007254,165666,15455,414,17943,2701,222
346110,ARK: Survival Evolved,44,2,2018,1641339,122269,13463,336,13250,2446,182
346110,ARK: Survival Evolved,46,3,2018,1691375,123419,12996,302,13761,2276,166
346110,ARK: Survival Evolved,41,4,2018,1640882,111641,18682,296,12685,2282,155
346110,ARK: Survival Evolved,59,5,2018,1383825,100569,9528,254,12129,1862,135
346110,ARK: Survival Evolved,47,6,2018,1835312,121216,28635,321,14588,2552,168
346110,ARK: Survival Evolved,25,7,2018,4215955,147086,40648,319,13968,5674,197
346110,ARK: Survival Evolved,47,8,2018,1859426,115454,27787,279,8919,2502,155
346110,ARK: Survival Evolved,50,9,2018,1442190,98893,19749,278,7467,2005,137
346110,ARK: Survival Evolved,54,10,2018,1517999,102800,6581,285,7486,2043,138
346110,ARK: Survival Evolved,33,11,2018,4454887,205990,44680,765,15470,6195,286
346110,ARK: Survival Evolved,45,12,2018,2723047,139480,45885,383,11598,3664,187
346110,ARK: Survival Evolved,74,1,2019,1310110,128801,9817,320,11064,1763,173
346110,ARK: Survival Evolved,73,2,2019,1051476,92867,8805,276,7826,1567,138
346110,ARK: Survival Evolved,75,3,2019,1042250,114138,5162,330,9411,1402,153
346110,ARK: Survival Evolved,73,4,2019,1181005,115444,4666,309,9601,1642,160
346110,ARK: Survival Evolved,77,5,2019,1067262,113014,5442,278,9688,1436,152
346110,ARK: Survival Evolved,55,6,2019,1996313,138498,14549,445,12601,2776,192
346110,ARK: Survival Evolved,45,7,2019,2193001,156094,10695,393,12697,2951,210
346110,ARK: Survival Evolved,47,8,2019,2356866,135677,31947,355,10944,3172,182
346110,ARK: Survival Evolved,67,9,2019,1304086,103787,13228,309,8416,1813,144
346110,ARK: Survival Evolved,87,10,2019,819492,88709,5052,244,7119,1102,119
346110,ARK: Survival Evolved,80,11,2019,974473,96386,25600,254,7624,1355,134
346110,ARK: Survival Evolved,37,12,2019,3197037,113458,33736,312,8880,4302,152
346110,ARK: Survival Evolved,39,1,2020,3775545,146969,41684,414,10776,5081,197
346110,ARK: Survival Evolved,46,2,2020,2612791,151989,40993,815,12045,3759,218
346110,ARK: Survival Evolved,46,3,2020,3024507,225503,23061,625,16504,4070,303
346110,ARK: Survival Evolved,77,4,2020,1700365,213767,12957,509,13087,2364,297
346110,ARK: Survival Evolved,84,5,2020,1994504,203722,20631,505,11787,2684,274
346110,ARK: Survival Evolved,55,6,2020,2751792,272680,32686,806,21832,3827,379
346110,ARK: Survival Evolved,81,7,2020,2088824,239495,18359,571,15586,2811,322
346110,ARK: Survival Evolved,91,8,2020,1615768,220558,5719,533,13889,2174,296
346110,ARK: Survival Evolved,98,9,2020,1422325,201038,5353,482,13425,1978,279
346110,ARK: Survival Evolved,97,10,2020,1443131,190678,5816,548,15150,1942,256
346110,ARK: Survival Evolved,83,11,2020,1980616,239794,27252,626,20083,2754,333
346110,ARK: Survival Evolved,86,12,2020,1984514,270661,14509,695,22907,2670,364
346110,ARK: Survival Evolved,77,1,2021,2435003,362311,12065,948,31588,3277,487
346110,ARK: Survival Evolved,32,2,2021,9847443,353330,386433,1074,31582,14675,526
346110,ARK: Survival Evolved,38,3,2021,7594388,308626,95571,883,26067,10221,415
346110,ARK: Survival Evolved,49,4,2021,5068243,278648,41143,729,23231,7049,387
346110,ARK: Survival Evolved,100,2,2023,1308341,190699,10421,575,26880,1949,284
346110,ARK: Survival Evolved,93,3,2023,1795614,192577,7125,505,25712,2416,259
346110,ARK: Survival Evolved,106,4,2023,1510503,204594,6611,503,26296,2100,284
346110,ARK: Survival Evolved,100,5,2023,1623051,195244,6179,466,23887,2184,262
346110,ARK: Survival Evolved,106,6,2023,1282927,177317,6670,414,24905,1784,246
346110,ARK: Survival Evolved,46,7,2023,5944571,211640,96631,479,27636,8000,284
346110,ARK: Survival Evolved,86,8,2023,2641496,193070,32201,481,23944,3555,259
346110,ARK: Survival Evolved,131,9,2023,1062791,151225,4498,382,19014,1478,210
361420,ASTRONEER,44,12,2016,1359427,26831,64365,143,0,1829,36
361420,ASTRONEER,72,1,2017,761112,21225,29721,72,4782,1024,28
361420,ASTRONEER,190,2,2018,170261,5663,22482,50,1441,253,8
361420,ASTRONEER,109,7,2018,641307,13806,28867,61,2239,863,18
361420,ASTRONEER,70,2,2019,1121449,38527,30583,195,6005,1671,57
361420,ASTRONEER,122,3,2019,550548,21059,6420,75,3473,740,28
551860,Abandon Ship,181,2,2018,186349,1426,11183,36,392,277,2
473690,Absolver,63,8,2017,878643,15724,48064,690,4194,1182,21
473690,Absolver,160,9,2017,215862,19517,4272,207,4778,300,27
1336490,Against the Storm,193,11,2022,616743,7701,23357,32,867,857,10
1426450,Age of Darkness: Final Stand,192,10,2021,685365,4891,38958,44,701,922,6
813780,Age of Empires II: Definitive Edition,45,11,2019,2662781,22891,105936,199,3816,3703,31
813780,Age of Empires II: Definitive Edition,45,12,2019,2633779,32257,34716,100,3882,3544,43
813780,Age of Empires II: Definitive Edition,45,1,2020,3321795,32917,53430,87,3573,4470,44
813780,Age of Empires II: Definitive Edition,56,2,2020,1989402,26259,19356,81,2755,2862,37
813780,Age of Empires II: Definitive Edition,39,3,2020,3744552,32795,54835,135,3459,5039,44
813780,Age of Empires II: Definitive Edition,70,4,2020,2015537,41554,15293,119,3460,2803,57
813780,Age of Empires II: Definitive Edition,60,5,2020,2885600,45127,29594,118,3623,3883,60
813780,Age of Empires II: Definitive Edition,63,6,2020,2263061,38998,28514,104,3006,3147,54
813780,Age of Empires II: Definitive Edition,71,7,2020,2354533,42928,18809,104,3273,3168,57
813780,Age of Empires II: Definitive Edition,62,8,2020,2860449,40635,154059,95,3211,3849,54
813780,Age of Empires II: Definitive Edition,89,9,2020,1564335,27597,16058,97,2782,2175,38
1017900,Age of Empires: Definitive Edition,200,8,2019,268536,1770,30412,21,362,361,2
1669000,Age of Wonders 4,122,5,2023,1290974,28091,26948,236,2837,1737,37
718850,Age of Wonders: Planetfall,124,8,2019,501000,10589,11622,153,1379,674,14
304530,Agents of Mayhem,130,8,2017,318873,9767,33811,126,1927,429,13
487720,Agony,111,5,2018,487171,6792,47635,342,2415,655,9
1305420,Agrou,191,8,2020,534353,1524,42718,19,318,719,2
1305420,Agrou,174,9,2020,634832,2190,31575,34,516,882,3
214490,Alien: Isolation,135,1,2016,264294,11799,9590,42,3968,355,15
214490,Alien: Isolation,188,2,2016,109754,7771,10235,35,2653,157,11
214490,Alien: Isolation,178,4,2016,122248,7052,4976,35,2420,170,9
214490,Alien: Isolation,186,8,2016,121317,7207,3204,29,2292,163,9
214490,Alien: Isolation,109,10,2016,263311,9398,9862,74,2554,354,12
214490,Alien: Isolation,182,11,2016,121289,7483,2731,70,2008,168,10
214490,Alien: Isolation,182,12,2016,150761,5866,6323,24,387,202,7
214490,Alien: Isolation,174,6,2017,162443,7350,3835,32,2140,225,10
214490,Alien: Isolation,142,8,2017,277275,7629,14317,33,2186,373,10
214490,Alien: Isolation,112,10,2017,374932,14409,14512,104,3230,504,19
214490,Alien: Isolation,162,10,2018,300834,17144,4410,137,3456,404,23
214490,Alien: Isolation,126,1,2019,592800,10348,29261,46,2332,797,13
214490,Alien: Isolation,195,2,2020,347691,9347,10613,39,1886,500,13
214490,Alien: Isolation,180,5,2020,650974,53337,5911,273,9376,876,71
214490,Alien: Isolation,140,6,2020,763412,31177,30483,107,6293,1061,43
214490,Alien: Isolation,199,8,2020,494709,30768,73694,101,6359,665,41
214490,Alien: Isolation,109,10,2020,1291612,62274,17264,408,11440,1738,83
214490,Alien: Isolation,198,11,2020,559418,34388,15486,391,6744,778,47
214490,Alien: Isolation,177,8,2021,873436,34157,129105,102,6468,1175,45
214490,Alien: Isolation,135,10,2021,1067814,60117,19771,308,10354,1437,80
214490,Alien: Isolation,193,5,2022,661112,22911,32913,76,5720,889,30
214490,Alien: Isolation,157,10,2022,1051950,47928,36843,248,10038,1415,64
1150440,Aliens: Dark Descent,95,6,2023,1469764,22817,34500,213,3103,2044,31
1549970,Aliens: Fireteam Elite,77,8,2021,3015624,71646,198891,1015,10094,4058,96
2166060,Amanda the Adventurer,193,4,2023,656559,3185,52476,59,1270,913,4
2166060,Amanda the Adventurer,106,5,2023,1476218,13896,61038,60,5816,1986,18
270880,American Truck Simulator,108,1,2016,314055,724,43089,48,186,422,0
270880,American Truck Simulator,31,2,2016,2134600,62514,47163,363,7784,3071,89
270880,American Truck Simulator,82,3,2016,369650,21038,18702,80,3152,497,28
270880,American Truck Simulator,154,4,2016,141057,11542,2950,42,1902,196,16
270880,American Truck Simulator,139,5,2016,154585,10681,3528,52,1906,208,14
270880,American Truck Simulator,157,6,2016,132468,9984,27513,40,1962,184,13
270880,American Truck Simulator,200,11,2016,108717,7494,2707,30,1256,151,10
270880,American Truck Simulator,134,11,2017,294246,14678,43034,79,2342,409,20
999220,Amnesia: Rebirth,50,10,2020,3963640,63754,244510,1122,11206,5334,85
1944430,Amnesia: The Bunker,69,6,2023,2604862,77607,86270,498,29829,3622,107
57300,Amnesia: The Dark Descent,131,10,2016,225547,4310,21787,61,1327,303,5
945360,Among Us,49,7,2020,4156774,40450,85125,221,8466,5594,54
945360,Among Us,11,8,2020,30537792,371215,266564,3044,73330,41100,499
945360,Among Us,2,9,2020,147132248,2507735,745468,12317,410661,204634,3487
945360,Among Us,3,10,2020,109716919,2160986,753943,9142,386445,147667,2908
945360,Among Us,4,11,2020,76950746,1328891,776257,5274,250289,107024,1848
945360,Among Us,11,12,2020,50435363,898171,493501,3332,178817,67880,1208
945360,Among Us,15,1,2021,31244138,661043,269117,2436,139022,42051,889
945360,Among Us,21,2,2021,19534202,385226,324430,1883,83756,29112,574
945360,Among Us,21,3,2021,17254354,304483,697975,3026,70224,23222,409
945360,Among Us,20,4,2021,19448312,348499,374767,4332,87073,27049,484
945360,Among Us,29,5,2021,10960963,205990,234081,959,51402,14752,277
945360,Among Us,37,6,2021,7218194,174475,98832,683,45982,10039,242
945360,Among Us,55,7,2021,4331608,136112,112417,508,35164,5829,183
945360,Among Us,47,8,2021,5647046,135827,214019,474,35178,7600,182
945360,Among Us,50,9,2021,4703977,107946,107621,446,28497,6542,150
945360,Among Us,59,10,2021,3924174,93048,95616,338,23806,5281,125
945360,Among Us,40,11,2021,8457061,121569,418698,661,32847,11762,169
945360,Among Us,46,12,2021,5751558,158212,294779,648,38709,7740,212
945360,Among Us,51,1,2022,5336702,146504,146017,596,66857,7182,197
945360,Among Us,68,2,2022,3398112,93331,93519,457,43059,5064,139
945360,Among Us,46,3,2022,4360599,83993,167122,363,37909,5868,113
945360,Among Us,44,4,2022,4532981,90524,130686,478,40305,6304,125
945360,Among Us,47,5,2022,4895496,84500,187951,335,36507,6588,113
945360,Among Us,42,6,2022,6757535,102292,193244,427,46628,9398,142
945360,Among Us,45,7,2022,5239669,106985,173689,398,49716,7052,143
945360,Among Us,53,8,2022,4501489,87479,311180,404,39769,6058,117
945360,Among Us,71,9,2022,3180104,75043,102819,295,31634,4422,104
945360,Among Us,75,10,2022,2822428,76289,124861,300,31198,3798,102
945360,Among Us,50,11,2022,3928862,70438,205724,304,29731,5464,97
945360,Among Us,60,12,2022,3505470,88060,137305,496,41104,4717,118
945360,Among Us,68,1,2023,2760266,76925,137287,342,37885,3715,103
945360,Among Us,156,1,2023,876724,14099,135976,291,8939,1179,18
945360,Among Us,83,2,2023,1994594,52187,64504,305,25095,2972,77
945360,Among Us,72,3,2023,2615779,66880,79310,302,30583,3520,90
945360,Among Us,71,4,2023,2872530,66343,162975,280,30316,3995,92
945360,Among Us,72,5,2023,2503543,59810,90192,274,26201,3369,80
945360,Among Us,65,6,2023,2835034,63822,118547,256,28790,3943,88
945360,Among Us,74,7,2023,2573293,77736,85604,261,35434,3463,104
945360,Among Us,84,8,2023,2673888,70770,241496,262,32196,3598,95
945360,Among Us,82,9,2023,2422822,63255,176698,266,28275,3369,87
1849900,Among Us VR,113,11,2022,1266293,6102,214183,106,2442,1761,8
536270,Ancestors: The Humankind Odyssey,51,8,2019,2002614,20579,56387,339,3660,2695,27
536270,Ancestors: The Humankind Odyssey,45,9,2019,2006642,33439,45130,272,4777,2790,46
536270,Ancestors: The Humankind Odyssey,196,10,2019,300413,4082,24621,17,681,404,5
278890,Angvik,97,7,2017,506384,2610,16666,25,684,681,3
916440,Anno 1800,66,2,2019,1252055,13287,59432,354,2362,1865,19
916440,Anno 1800,26,4,2019,5244086,86428,73394,854,9585,7293,120
916440,Anno 1800,90,5,2019,867444,28371,12330,183,3685,1167,38
916440,Anno 1800,153,12,2019,405048,12267,10953,70,1559,545,16
916440,Anno 1800,155,1,2020,525822,8905,12944,48,1118,707,11
916440,Anno 1800,179,3,2020,454124,14830,20889,162,1955,611,19
916440,Anno 1800,165,4,2022,905928,15711,12821,86,1663,1259,21
500810,Arcanum: Of Steamworks and Magick Obscura,164,11,2019,310380,238,12070,3,36,431,0
1296360,Archvale,174,12,2021,781919,7525,36237,35,1338,1052,10
107410,Arma 3,26,1,2016,2542838,86219,32132,275,8771,3422,116
107410,Arma 3,22,2,2016,2912034,86145,35446,291,8273,4189,123
107410,Arma 3,30,3,2016,2637418,82520,39594,292,7638,3549,111
107410,Arma 3,23,4,2016,3130387,85471,37967,277,7708,4353,118
107410,Arma 3,23,5,2016,3312840,92309,40896,312,9159,4458,124
107410,Arma 3,18,6,2016,3706669,87751,41091,291,9124,5155,122
107410,Arma 3,18,7,2016,4422829,93442,55686,285,9611,5952,125
107410,Arma 3,17,8,2016,3875046,93215,37065,264,8719,5215,125
107410,Arma 3,16,9,2016,3692636,80451,35559,288,7825,5135,111
107410,Arma 3,19,10,2016,3422938,87016,20772,281,7807,4606,117
107410,Arma 3,15,11,2016,5240017,87384,45332,317,7467,7287,121
107410,Arma 3,18,12,2016,4568837,97003,32481,318,2754,6149,130
107410,Arma 3,22,1,2017,4352882,115111,43375,422,10912,5858,154
107410,Arma 3,26,2,2017,3193107,92824,45593,363,8657,4758,138
107410,Arma 3,30,3,2017,3123405,98428,33052,386,7976,4203,132
107410,Arma 3,28,4,2017,2838840,87307,23933,317,7286,3948,121
107410,Arma 3,33,5,2017,1846414,75872,15154,289,8052,2485,102
107410,Arma 3,35,6,2017,1953087,70813,13518,261,8296,2716,98
107410,Arma 3,42,7,2017,1751786,81175,12893,274,8349,2357,109
107410,Arma 3,62,8,2017,885582,62367,13460,238,6750,1191,83
107410,Arma 3,71,9,2017,705858,56852,9560,243,6465,981,79
107410,Arma 3,88,10,2017,542820,59850,8534,236,6210,730,80
107410,Arma 3,71,11,2017,767347,59328,10929,253,6370,1067,82
107410,Arma 3,61,12,2017,984665,63272,11036,262,7244,1325,85
107410,Arma 3,90,1,2018,656153,66021,8544,271,7317,883,88
107410,Arma 3,94,2,2018,532611,58420,15494,247,6298,793,87
107410,Arma 3,67,3,2018,990284,67364,16395,278,6954,1332,90
107410,Arma 3,57,4,2018,1137747,70738,13202,286,7512,1582,98
107410,Arma 3,72,5,2018,1034496,70973,11085,270,7343,1392,95
107410,Arma 3,88,6,2018,793688,63900,10585,278,7021,1103,88
107410,Arma 3,76,7,2018,1054558,72032,8796,259,7664,1419,96
107410,Arma 3,89,8,2018,790516,60684,24231,221,6632,1063,81
107410,Arma 3,94,9,2018,620984,53011,13829,220,5793,863,73
107410,Arma 3,100,10,2018,725933,52331,14350,240,5707,977,70
107410,Arma 3,123,11,2018,532657,43795,11358,222,5066,740,60
107410,Arma 3,115,12,2018,603814,48532,14034,211,5788,812,65
107410,Arma 3,129,1,2019,580513,62766,12586,268,6659,781,84
107410,Arma 3,114,2,2019,565259,58976,23245,315,6086,842,87
107410,Arma 3,86,3,2019,891582,63597,37017,309,6288,1199,85
107410,Arma 3,94,4,2019,800342,57576,12197,282,6032,1113,80
107410,Arma 3,146,5,2019,456478,56907,22344,265,6158,614,76
107410,Arma 3,157,6,2019,421539,51061,4371,243,5750,586,71
107410,Arma 3,100,7,2019,638543,54415,3996,229,6440,859,73
107410,Arma 3,133,8,2019,462687,49992,5925,209,5787,622,67
107410,Arma 3,160,9,2019,331547,43490,3852,220,4986,461,60
107410,Arma 3,164,10,2019,366033,42472,6297,222,4612,492,57
107410,Arma 3,188,11,2019,259410,36852,8142,219,4105,360,51
107410,Arma 3,146,12,2019,428862,39575,11464,205,4639,577,53
107410,Arma 3,159,2,2020,460934,53242,5509,278,5126,663,76
107410,Arma 3,174,4,2020,559209,75247,14639,365,6013,777,104
